,GeneId,aging_mechanisms,criteria,confidence,aging_mechanisms_group
202,ATF2,'transcriptional alterations',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'""]",5,Epigenetic alterations
203,ATF2,'impairment of the mitochondrial integrity and biogenesis',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'""]",5,Mitochondrial dysfunction
204,ATF2,'intercellular communication impairment',"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Age-related changes in gene expression, methylation or protein activity in non-mammals'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Regulation of genes associated with aging'""]",5,Altered intercellular communication
205,ATG12,'impairment of the mitochondrial integrity and biogenesis',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
206,ATG12,'disabled macroautophagy',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Disabled macroautophagy
207,ATG4B,'degradation of proteolytic systems',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Loss of proteostasis
208,ATG4B,'impairment of the mitochondrial integrity and biogenesis',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
209,ATG4B,'disabled macroautophagy',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Disabled macroautophagy
210,ATG5,'impairment of the mitochondrial integrity and biogenesis',"[""'Regulation of genes associated with aging'"", ""'Changes in gene activity extend mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'""]",2,Mitochondrial dysfunction
211,ATG5,'intercellular communication impairment',"[""'Regulation of genes associated with aging'"", ""'Changes in gene activity extend mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'""]",2,Altered intercellular communication
212,ATG5,'disabled macroautophagy',"[""'Regulation of genes associated with aging'"", ""'Changes in gene activity extend mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'""]",2,Disabled macroautophagy
213,ATM,'nuclear DNA instability',"[""'Association of genetic variants and gene expression levels with longevity'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",4,Genomic instability
214,ATM,'telomere attrition',"[""'Association of genetic variants and gene expression levels with longevity'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",4,Telomere attrition
215,ATM,'alterations in histone modifications',"[""'Association of genetic variants and gene expression levels with longevity'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",4,Epigenetic alterations
216,ATM,'transcriptional alterations',"[""'Association of genetic variants and gene expression levels with longevity'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",4,Epigenetic alterations
217,ATM,'TOR pathway dysregulation',"[""'Association of genetic variants and gene expression levels with longevity'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",4,Deregulated nutrient sensing
218,ATM,'senescent cells accumulation',"[""'Association of genetic variants and gene expression levels with longevity'"", ""'Regulation of genes associated with aging'"", ""'Changes in gene activity protect against age-related impairment'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'""]",4,Cell senescence
219,ATOX1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
220,ATP1B4,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
221,ATP2A2,'disabled macroautophagy',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Disabled macroautophagy
222,ATP2B2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
223,ATP5F1A,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
224,ATP5F1C,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
225,ATP5MC1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
226,ATP5MC3,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
227,ATP5ME,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
228,ATP5PD,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
229,ATP5PF,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
230,ATP5PO,other,"[""'Age-related changes in gene expression, methylation or protein activity'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Age-related changes in gene expression, methylation or protein activity in humans'"", ""'Changes in gene activity reduce non-mammalian lifespan'""]",3,other
231,ATP6V0B,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
232,ATP6V1A,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
233,ATP6V1G2,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
234,ATP6V1H,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
235,ATP7A,'impairment of the mitochondrial integrity and biogenesis',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
236,ATP7A,'accumulation of reactive oxygen species',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Mitochondrial dysfunction
237,ATP7A,'changes in the extracellular matrix structure',"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,Changes in the extracellular matrix structure
238,ATPAF1,other,"[""'Age-related changes in gene expression, methylation or protein activity in humans'""]",5,other
239,ATR,'nuclear DNA instability',"[""'Regulation of genes associated with aging'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'""]",3,Genomic instability
240,ATR,'telomere attrition',"[""'Regulation of genes associated with aging'"", ""'Changes in gene activity extend non-mammalian lifespan'"", ""'Changes in gene activity enhance age-related deterioration'"", ""'Changes in gene activity reduce mammalian lifespan'"", ""'Changes in gene activity protect against age-related impairment'""]",3,Telomere attrition
